MAG	basin	sample_type	compl	contam	numb_scaffolds	genome_size	GC	sPROD	METHANO	rhodanase	phsA	dsrB	MAG_FULL_tax
AND_IN_DM_bin.19	Anadarko Basin	input	69.48	1.72	229	4518485	45.1	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Vibrionaceae;g__Vibrio;s__Vibrio natriegens
AND_IN_FF1_bin.10	Anadarko Basin	input	99.89	0.81	35	3985601	61	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Asticcacaulis;s__Asticcacaulis excentricus_A
AND_IN_FF1_bin.5	Anadarko Basin	input	91.02	1.79	189	4129672	64.1	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Blastomonas;s__Blastomonas delafieldii_A
AND_IN_FF2_bin.129	Anadarko Basin	input	76.29	2.57	206	2225523	59.9	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Glutamicibacter;s__Glutamicibacter arilaitensis
AND_IN_FF2_bin.16	Anadarko Basin	input	72.29	1.48	281	3054339	64.3	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__;s__
AND_IN_FF2_bin.22	Anadarko Basin	input	71.82	1.95	187	2443420	64.9	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__
AND_IN_FF2_bin.46	Anadarko Basin	input	77.05	1.47	186	2854463	70.8	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__
AND_IN_FF2_bin.68	Anadarko Basin	input	79.49	3.42	287	3494774	65.9	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__12-FULL-67-14b;s__
AND_IN_FF2_bin.70	Anadarko Basin	input	92.45	0.95	138	3222967	64.4	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__
AND_IN_FF2_bin.76	Anadarko Basin	input	98.01	0.04	43	2912972	66.7	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Aeromicrobium;s__
